image_id,top_1_token_id,top_1_word,top_1_score,top_2_token_id,top_2_word,top_2_score,top_3_token_id,top_3_word,top_3_score,top_4_token_id,top_4_word,top_4_score,top_5_token_id,top_5_word,top_5_score
525247,649,put,0.0826416015625,32027,,0.0748291015625,32051,,0.07464599609375,32019,,0.07464599609375,32008,,0.07464599609375
469067,24574,aders,0.07415771484375,28387,olk,0.06915283203125,30034,ß,0.06903076171875,85,R,0.06903076171875,3660,ae,0.068359375
411665,273,an,0.069091796875,29786,Adel,0.0682373046875,1,<s>,0.06439208984375,1263,ова,0.06280517578125,8977,dict,0.06103515625
115885,29296,agua,0.0699462890625,1263,ова,0.068603515625,20138,iras,0.0670166015625,193,�,0.06634521484375,27714,Durant,0.066162109375
117908,273,an,0.0828857421875,1263,ова,0.07501220703125,6544,oles,0.074951171875,30058,î,0.06829833984375,5332,German,0.0673828125
1675,32027,,0.076171875,32051,,0.0760498046875,32062,,0.07598876953125,32019,,0.07598876953125,32008,,0.075927734375
519764,6272,env,0.07275390625,3660,ae,0.07159423828125,85,R,0.06854248046875,1263,ова,0.06658935546875,4330,TE,0.06549072265625
401991,6038,rain,0.073486328125,1144,ins,0.068115234375,24574,aders,0.0662841796875,28387,olk,0.06610107421875,85,R,0.06561279296875
572388,4330,TE,0.072509765625,17728,guard,0.0692138671875,2899,ров,0.0692138671875,24840,bio,0.06854248046875,22238,Laravel,0.0682373046875
177015,30254,്,0.07147216796875,31376,求,0.070068359375,28752,atia,0.0693359375,26968,roe,0.06689453125,5475,iles,0.06549072265625
71226,14316,ourt,0.07470703125,85,R,0.0670166015625,4330,TE,0.06683349609375,3660,ae,0.066650390625,8519,IS,0.0662841796875
407960,26330,xp,0.07745361328125,26968,roe,0.07171630859375,30445,া,0.07147216796875,18334,Rein,0.06878662109375,17572,wort,0.06500244140625
318238,3660,ae,0.079833984375,85,R,0.07537841796875,27067,omed,0.0693359375,5794,ously,0.06842041015625,1144,ins,0.06817626953125
119828,2310,dem,0.0684814453125,25675,yi,0.06787109375,1144,ins,0.06781005859375,10100,esi,0.065673828125,1263,ова,0.06402587890625
312340,649,put,0.07464599609375,21103,extens,0.0736083984375,32027,,0.0733642578125,32017,,0.07318115234375,32019,,0.072998046875
131131,273,an,0.07696533203125,17738,häng,0.07086181640625,26791,hens,0.067626953125,27714,Durant,0.067626953125,3660,ae,0.06640625
15497,30478,̃,0.07666015625,6621,üt,0.0758056640625,6933,ogy,0.0736083984375,85,R,0.0712890625,7184,hm,0.07098388671875
565391,27714,Durant,0.076904296875,22477,Gaussian,0.067138671875,31033,吉,0.066650390625,6621,üt,0.0662841796875,1263,ова,0.06341552734375
131938,1263,ова,0.0765380859375,6621,üt,0.06719970703125,19109,Korea,0.06689453125,13410,ppa,0.06634521484375,24488,dd,0.06573486328125
466339,13915,Venez,0.066650390625,17889,rôle,0.0662841796875,13247,agog,0.0654296875,16439,pipeline,0.0640869140625,3660,ae,0.06170654296875
524280,18334,Rein,0.06951904296875,1263,ова,0.06915283203125,17408,гом,0.0682373046875,9606,HE,0.06732177734375,1141,igh,0.06707763671875
84362,31363,軍,0.07098388671875,16171,Debug,0.070556640625,26330,xp,0.069580078125,32027,,0.06787109375,32008,,0.0675048828125
10363,21103,extens,0.07763671875,13707,nan,0.07489013671875,8817,idas,0.07318115234375,1263,ова,0.07275390625,24195,sein,0.07080078125
