image_id,label,sim_pos_patch_max,patch_level_accuracy
525247,cat,0.05174445,0.010416666666666666
469067,cat,0.05862218,0.008680555555555556
411665,cat,0.047136538,0.012152777777777778
115885,cat,0.047532666,0.012152777777777778
117908,cat,0.06078471,0.017361111111111112
1675,cat,0.04488673,0.017361111111111112
519764,cat,0.041755125,0.005208333333333333
401991,cat,0.050918717,0.010416666666666666
572388,cat,0.057127587,0.06076388888888889
177015,cat,0.047124445,0.013888888888888888
71226,cat,0.06532009,0.034722222222222224
407960,cat,0.04568213,0.012152777777777778
318238,cat,0.04191146,0.0
119828,cat,0.04284571,0.017361111111111112
312340,cat,0.04218091,0.005208333333333333
131131,cat,0.052476846,0.003472222222222222
15497,cat,0.04565455,0.017361111111111112
565391,cat,0.058239065,0.022569444444444444
131938,cat,0.045067012,0.0
466339,cat,0.036760505,0.0
524280,cat,0.04251891,0.0
84362,cat,0.06436317,0.019097222222222224
10363,cat,0.04440767,0.027777777777777776
311789,cat,0.04823977,0.003472222222222222
77595,cat,0.039034836,0.008680555555555556
176778,cat,0.051359795,0.006944444444444444
434996,cat,0.060696118,0.001736111111111111
125850,cat,0.04263141,0.0
241326,cat,0.06326361,0.03298611111111111
269314,cat,0.04130178,0.006944444444444444
211042,cat,0.053773507,0.041666666666666664
398810,cat,0.048090685,0.024305555555555556
167122,cat,0.04362192,0.010416666666666666
139684,cat,0.0498195,0.010416666666666666
424545,cat,0.0502761,0.012152777777777778
284623,cat,0.041151807,0.006944444444444444
491216,cat,0.050930988,0.010416666666666666
360943,cat,0.045844343,0.005208333333333333
134096,cat,0.048646554,0.015625
121586,cat,0.058979914,0.013888888888888888
366141,cat,0.055786077,0.010416666666666666
134882,cat,0.046355665,0.0
413395,cat,0.06050313,0.03125
291490,cat,0.03483072,0.0
290843,cat,0.043125052,0.001736111111111111
260925,cat,0.044119574,0.022569444444444444
300913,cat,0.0399564,0.003472222222222222
277584,cat,0.04585564,0.022569444444444444
491757,cat,0.04438724,0.010416666666666666
357941,cat,0.04461161,0.015625
385205,cat,0.04130662,0.005208333333333333
227044,cat,0.054424614,0.013888888888888888
366199,cat,0.037020035,0.005208333333333333
460841,cat,0.043113388,0.006944444444444444
186296,cat,0.052831918,0.020833333333333332
476810,cat,0.045497365,0.003472222222222222
210099,cat,0.05140094,0.029513888888888888
574810,cat,0.03923161,0.005208333333333333
222235,cat,0.04354782,0.005208333333333333
570664,cat,0.052498348,0.03819444444444445
416330,cat,0.04034537,0.0
172330,cat,0.052034356,0.026041666666666668
533536,cat,0.05447128,0.005208333333333333
169076,cat,0.056931384,0.005208333333333333
