image_id,label,layer,sim_pos_patch_max,patch_level_accuracy
525247,cat,1,0.050490215,0.010416666666666666
525247,cat,2,0.03983915,0.005208333333333333
525247,cat,3,0.039839372,0.005208333333333333
525247,cat,4,0.040848993,0.005208333333333333
525247,cat,5,0.037689924,0.008680555555555556
525247,cat,6,0.0369357,0.012152777777777778
525247,cat,7,0.038064826,0.029513888888888888
525247,cat,8,0.03530355,0.027777777777777776
525247,cat,9,0.034669865,0.026041666666666668
525247,cat,10,0.042274848,0.03993055555555555
525247,cat,11,0.03338268,0.013888888888888888
525247,cat,12,0.037766844,0.034722222222222224
525247,cat,13,0.035633773,0.026041666666666668
525247,cat,14,0.033850983,0.019097222222222224
525247,cat,15,0.033826504,0.0
525247,cat,16,0.04177553,0.003472222222222222
525247,cat,17,0.035448376,0.003472222222222222
525247,cat,18,0.03276097,0.005208333333333333
525247,cat,19,0.0322635,0.005208333333333333
525247,cat,20,0.03663989,0.003472222222222222
525247,cat,21,0.029758584,0.003472222222222222
525247,cat,22,0.034978308,0.001736111111111111
525247,cat,23,0.036710374,0.001736111111111111
525247,cat,24,0.03573104,0.001736111111111111
525247,cat,25,0.034326736,0.003472222222222222
525247,cat,26,0.030756094,0.003472222222222222
525247,cat,27,0.034196924,0.003472222222222222
525247,cat,28,0.03798642,0.008680555555555556
525247,cat,29,0.035495635,0.005208333333333333
525247,cat,30,0.029218057,0.0
525247,cat,31,0.028474659,0.0
525247,cat,32,0.0076781427,0.0
469067,cat,1,0.058175784,0.010416666666666666
469067,cat,2,0.055636965,0.008680555555555556
469067,cat,3,0.05604884,0.010416666666666666
469067,cat,4,0.057502404,0.010416666666666666
469067,cat,5,0.058345247,0.012152777777777778
469067,cat,6,0.06160124,0.013888888888888888
469067,cat,7,0.059591282,0.017361111111111112
469067,cat,8,0.05934292,0.020833333333333332
469067,cat,9,0.06120235,0.019097222222222224
469067,cat,10,0.0742143,0.036458333333333336
469067,cat,11,0.06435482,0.010416666666666666
469067,cat,12,0.06405239,0.041666666666666664
469067,cat,13,0.05831773,0.019097222222222224
469067,cat,14,0.06310852,0.013888888888888888
469067,cat,15,0.07308732,0.013888888888888888
469067,cat,16,0.078131914,0.019097222222222224
469067,cat,17,0.080342814,0.029513888888888888
469067,cat,18,0.083279684,0.041666666666666664
469067,cat,19,0.0815867,0.019097222222222224
469067,cat,20,0.086090736,0.013888888888888888
469067,cat,21,0.08199516,0.012152777777777778
469067,cat,22,0.07931924,0.008680555555555556
469067,cat,23,0.078163594,0.010416666666666666
469067,cat,24,0.07654037,0.008680555555555556
469067,cat,25,0.06950924,0.017361111111111112
469067,cat,26,0.069501795,0.013888888888888888
469067,cat,27,0.06733124,0.027777777777777776
469067,cat,28,0.0605516,0.03298611111111111
469067,cat,29,0.059851937,0.029513888888888888
469067,cat,30,0.05131406,0.015625
469067,cat,31,0.0415215,0.005208333333333333
469067,cat,32,0.019269798,0.001736111111111111
411665,cat,1,0.0463272,0.012152777777777778
411665,cat,2,0.04218242,0.005208333333333333
411665,cat,3,0.041524,0.006944444444444444
411665,cat,4,0.041802816,0.005208333333333333
411665,cat,5,0.041318998,0.013888888888888888
411665,cat,6,0.041027315,0.036458333333333336
411665,cat,7,0.036752686,0.07465277777777778
411665,cat,8,0.03711504,0.07291666666666667
411665,cat,9,0.038727522,0.08506944444444445
411665,cat,10,0.05245177,0.1076388888888889
411665,cat,11,0.039266463,0.029513888888888888
411665,cat,12,0.04187264,0.06076388888888889
411665,cat,13,0.038644474,0.03993055555555555
411665,cat,14,0.04448552,0.04861111111111111
411665,cat,15,0.05626364,0.057291666666666664
411665,cat,16,0.058479667,0.05555555555555555
411665,cat,17,0.057693124,0.046875
411665,cat,18,0.055519246,0.036458333333333336
411665,cat,19,0.0544418,0.03298611111111111
411665,cat,20,0.058563426,0.024305555555555556
411665,cat,21,0.050981555,0.017361111111111112
411665,cat,22,0.049814228,0.012152777777777778
411665,cat,23,0.047061693,0.006944444444444444
411665,cat,24,0.04581703,0.010416666666666666
411665,cat,25,0.044372443,0.010416666666666666
411665,cat,26,0.044377707,0.008680555555555556
411665,cat,27,0.047736727,0.022569444444444444
411665,cat,28,0.047876354,0.024305555555555556
411665,cat,29,0.044757776,0.026041666666666668
411665,cat,30,0.04105787,0.012152777777777778
411665,cat,31,0.038639553,0.013888888888888888
411665,cat,32,0.0151748005,0.015625
115885,cat,1,0.04690983,0.012152777777777778
115885,cat,2,0.043678336,0.006944444444444444
115885,cat,3,0.043483242,0.010416666666666666
115885,cat,4,0.043339588,0.008680555555555556
115885,cat,5,0.04423508,0.020833333333333332
115885,cat,6,0.043800518,0.020833333333333332
